basket,n,term_m,prot_bar,coupon,status
MELI/ADBE/AAL/MCD/HPQ/OKTA,6,12,0.55,9.2,ok
NKE/VZ/TEAM/MOS/PEP/T,6,60,0.6,11.8,ok
MELI/ADBE/AAL/MCD/HPQ/OKTA,6,12,0.55,10.3,ok
MELI/ADBE/AAL/MCD/HPQ/OKTA,6,12,0.55,1.9,ok
MELI/CRWD/NIO/MCD/HPQ/OKTA,6,12,0.55,19.0,ok
MELI/CRWD/NIO/MCD/HPQ/OKTA,6,12,0.55,27.5,ok
MELI/CRWD/NIO/MCD/HPQ/OKTA,6,12,0.55,9.9,ok
MELI/ADBE/CRM/MCD/HPQ/OKTA,6,12,0.55,,reject_margin
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,,reject_margin
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,8.9,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.6,19.3,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.65,25.3,ok
MOS/TSLA/ADBE/T/PEP,5,36,0.65,32.7,ok
TEAM/CRM/ORCL/ADBE,4,24,0.7,9.4,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.7,34.5,ok
MOS/TSLA/ADBE/T/PEP,5,36,0.65,33.4,ok
TEAM/CRM/ORCL/ADBE,4,24,0.65,8.9,ok
MOS/TSLA/ADBE/T/PEP,5,60,0.65,30.9,ok
TEAM/MSFT/ORCL/ADBE,4,24,0.65,8.9,ok
MOS/TSLA/ADBE/T/PEP,5,60,0.6,25.8,ok
TEAM/MSFT/ORCL/CRM,4,24,0.65,8.2,ok
TEAM/MSFT/ORCL/CRM,4,24,0.6,7.4,ok
NFLX/TEAM/MSFT/ORCL/CRM,5,24,0.6,11.2,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.7,13.4,ok
NFLX/TEAM/MSFT/ORCL/CRM,5,24,0.7,12.8,ok
NFLX/TEAM/MSFT/ORCL/CRM,5,36,0.7,5.5,ok
NFLX/TEAM/MSFT/ORCL/T/PEP,6,36,0.7,8.9,ok
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.7,,reject_margin
NBIS/TEAM/MU/INTC/CF/CHTR,6,60,0.7,31.9,ok
INTC/TEAM/WDC/MSTR/ORCL/MU,6,60,0.7,,reject_margin
INTC/TEAM/WDC/MSTR/ORCL/MU,6,60,0.7,,reject_margin
NFLX/UNH/MSFT/ORCL/T/PEP,6,36,0.7,9.8,ok
INTC/TEAM/WDC/MSTR/ORCL/PM,6,60,0.7,3.4,ok
NFLX/UNH/MSFT/ORCL/T/PEP,6,36,0.7,5.5,ok
NFLX/UNH/MSFT/ORCL/T/PEP,6,24,0.6,7.2,ok
NFLX/UNH/MSFT/ORCL/T/PEP,6,24,0.65,9.2,ok
INTC/TEAM/WDC/MU/ORCL/PM,6,60,0.7,,reject_margin
UNH/LLY/PM/PEP/ROKU/BABA,6,36,0.6,24.9,ok
NFLX/UNH/MSFT/ORCL/T/PEP,6,24,0.7,11.4,ok
NFLX/UNH/MSFT/ORCL/T/PEP,6,24,0.7,10.6,ok
NFLX/UNH/MSFT/ORCL/T/PEP,6,24,0.7,9.9,ok
UNH/BABA/ORCL/ROKU/CCJ,5,60,0.6,15.4,ok
XPEV/SE/TME/TEAM/LI/BIDU,6,60,0.6,14.7,ok
XPEV/SE/TME/TEAM/LI/BIDU,6,60,0.6,14.7,ok
ETHA/BMRN/MOS/TEAM/AAL/CHTR,6,60,0.6,9.0,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,23.5,ok
ETHA/BMRN/MOS/TEAM/AAL/CHTR,6,60,0.6,9.9,ok
NVDA/AVGO/ORCL/AAPL/GOOG/NBIS,6,36,0.6,30.6,ok
BABA/BKNG/DT/LI/MOS/ZG,6,36,0.6,43.9,ok
BABA/BKNG/DT/LI/MOS/ZG,6,36,0.6,43.9,ok
MDB/MRVL/TEAM,3,48,0.65,51.7,ok
MBLY/MDB/MRVL/NIO/ROKU/TEAM,6,36,0.6,23.5,ok
CHTR/LW/MOS/NIO/PDD/XPEV,6,36,0.6,45.2,ok
MOS/ALB/PG/AMZN/PM/LLY,6,60,0.65,24.9,ok
COP/CRWD/DAL/DDOG/DRI/KO,6,36,0.6,35.6,ok
COP/CRWD/DAL/DDOG/DRI/KO,6,36,0.6,35.6,ok
COP/CRWD/DAL/DDOG/DRI/KO,6,36,0.6,54.0,ok
COP/CRWD/DAL/DDOG/DRI/KO,6,36,0.6,54.0,ok
ALGN/ABNB/AMZN/DAL/DVN/ADBE,6,60,0.65,28.5,ok
ABNB/ADBE/ALGN/AMZN/DAL/DVN,6,60,0.65,28.5,ok
ALGN/ABNB/AMZN/DAL/DVN/ADBE,6,60,0.85,23.0,ok
BABA/BKNG/DT/LI/MOS/ZG,6,36,0.6,43.9,ok
BABA/BKNG/DT/LI/MOS/ZG,6,36,0.6,43.9,ok
MDB/MRVL/TEAM,3,48,0.65,51.7,ok
SHOP/DASH/HWM/DKNG/ORCL/BKNG,6,24,0.6,21.9,ok
MBLY/MDB/MRVL/NIO/ROKU/TEAM,6,36,0.6,23.5,ok
CHTR/LW/MOS/NIO/PDD/XPEV,6,36,0.6,45.2,ok
SHOP/DASH/HWM/DKNG/ORCL/BKNG,6,24,0.6,20.9,ok
MDB/NFLX/NIO/PFE/TEAM/UNH,6,60,0.6,40.6,ok
NET/ORCL/CRM/SPOT/NKE/MOS,6,24,0.6,22.2,ok
MCD/SHOP/NET/ORCL/MOS/NFLX,6,24,0.6,21.7,ok
NFLX/AMZN/MSFT/UNH/ORCL/QCOM,6,84,0.55,17.0,ok
NFLX/AMZN/MSFT/UNH/ORCL/QCOM,6,60,0.55,22.0,ok
NFLX/AMZN/MSFT/UNH/ORCL/QCOM,6,60,0.55,19.0,ok
NFLX/AMZN/MSFT/UNH/ORCL/QCOM,6,60,0.55,16.1,ok
NFLX/AMZN/MSFT/UNH/ORCL/QCOM,6,60,0.6,18.8,ok
NFLX/AMZN/MSFT/UNH/ORCL/QCOM,6,60,0.6,25.6,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,60,0.6,12.7,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.6,8.5,ok
MOS/ETHA/CHTR/STLA/LW/MSTR,6,60,0.6,25.3,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.6,17.4,ok
LI/PEP/NFLX/RACE/AMZN/MSFT,6,48,0.6,16.8,ok
NFLX/AMZN/MSFT/UNH/ORCL/XOM,6,48,0.55,18.2,ok
NFLX/AMZN/MSFT/UNH/ORCL/JPM,6,48,0.55,16.7,ok
NFLX/AMZN/MSFT/UNH/ORCL/PM,6,48,0.55,18.7,ok
NFLX/AMZN/MSFT/UNH/ORCL/CAT,6,48,0.55,19.6,ok
QCOM/LI/NFLX/AMZN/MSFT,5,60,0.55,16.7,ok
